CVE,CVSSv2,CVSSv3
CVE-2016-1635,10,9.8
CVE-2016-1636,7.5,9.8
CVE-2016-1637,4.3,6.5
CVE-2016-1638,6.8,6.3
CVE-2016-1639,10,9.8
CVE-2016-1640,4.3,4.3
CVE-2016-1641,9.3,8.8
CVE-2016-1642,10,9.8
CVE-2016-1643,9.3,8.8
CVE-2016-1644,9.3,8.8
CVE-2016-1645,9.3,8.8
CVE-2016-1646,9.3,8.8
CVE-2016-1647,9.3,8.8
CVE-2016-1648,9.3,8.8
CVE-2016-1649,9.3,8.8
CVE-2016-1650,9.3,8.8
CVE-2016-1715,5.5,6.6
CVE-2016-1716,7.2,7.8
CVE-2016-1717,7.2,7.8
CVE-2016-1718,6.9,7.3
CVE-2016-1719,7.2,7.8
CVE-2016-1720,7.2,7.8
CVE-2016-1721,7.2,7.8
CVE-2016-1722,7.2,7.8
CVE-2016-1723,9.3,8.8
CVE-2016-1724,9.3,8.8
CVE-2016-1725,9.3,8.8
CVE-2016-1726,9.3,8.8
CVE-2016-1727,9.3,8.8
CVE-2016-1728,4.3,4.3
CVE-2016-1729,7.5,7.3
CVE-2016-1730,5.8,5.4
CVE-2016-1731,5,5.9
CVE-2016-1732,2.1,5.5
CVE-2016-1733,9.3,7.8
CVE-2016-1734,7.2,6.8
CVE-2016-1735,9.3,7.8
CVE-2016-1736,9.3,7.8
CVE-2016-1737,6.8,6.3
CVE-2016-1738,7.2,7.8
CVE-2016-1740,9.3,7.8
CVE-2016-1741,10,9.8
CVE-2016-1743,9.3,7.8
CVE-2016-1744,9.3,7.8
CVE-2016-1745,2.1,5.5
CVE-2016-1746,9.3,7.8
CVE-2016-1747,9.3,7.8
CVE-2016-1748,4.3,3.3
CVE-2016-1749,9.3,7.8
CVE-2016-1750,9.3,7.8
CVE-2016-1751,9.3,7.8
CVE-2016-1752,9.3,7.8
CVE-2016-1753,9.3,7.8
CVE-2016-1754,9.3,7.8
CVE-2016-1755,9.3,7.8
CVE-2016-1756,9.3,7.8
CVE-2016-1757,9.3,7
CVE-2016-1758,4.3,3.3
CVE-2016-1759,9.3,7.8
CVE-2016-1760,2.1,6.2
CVE-2016-1761,10,9.8
CVE-2016-1762,10,9.8
CVE-2016-1763,3.5,3.5
CVE-2016-1764,4.3,4.3
CVE-2016-1765,4.6,7.8
CVE-2016-1766,5,7.5
CVE-2016-1767,6.8,7.8
CVE-2016-1768,6.8,7.8
CVE-2016-1769,6.8,7.8
CVE-2016-1770,4.3,6.5
CVE-2016-1771,7.1,6.5
CVE-2016-1772,4.3,4.3
CVE-2016-1773,2.1,3.3
CVE-2016-1774,5,5.3
CVE-2016-1775,9.3,7.8
CVE-2016-1776,5,5.3
CVE-2016-1777,5,7.5
CVE-2016-1778,9.3,8.8
CVE-2016-1779,4.3,6.5
CVE-2016-1780,4.3,4.3
CVE-2016-1781,4.3,4.3
CVE-2016-1782,4.3,6.5
CVE-2016-1783,9.3,8.8
CVE-2016-1784,4.3,6.5
CVE-2016-1785,4.3,6.5
CVE-2016-1786,5.8,5.4
CVE-2016-1787,5,5.3
CVE-2016-1788,2.6,5.9
CVE-2016-1789,4.3,5.5
CVE-2016-1867,4.3,6.5
CVE-2016-1879,7.8,7.5
CVE-2016-1882,7.8,7.5
CVE-2016-1896,10,9.8
CVE-2016-1897,4.3,5.5
CVE-2016-1898,4.3,5.5
CVE-2016-1899,4.3,3.7
CVE-2016-1900,4.3,3.7
CVE-2016-1901,7.5,9.8
CVE-2016-1903,6.4,9.1
CVE-2016-1904,7.5,7.3
CVE-2016-1905,4,7.7
CVE-2016-1906,10,9.8
CVE-2016-1907,5,5.3
CVE-2016-1909,10,9.8
CVE-2016-1910,5,5.3
CVE-2016-1911,4.3,6.1
CVE-2016-1912,3.5,5.4
CVE-2016-1913,3.5,5.4
CVE-2016-1923,4.3,6.5
CVE-2016-1924,4.3,6.5
CVE-2016-1926,4.3,6.1
CVE-2016-1927,5,7.5
CVE-2016-1928,7.5,9.8
CVE-2016-1929,8.5,9.3
CVE-2016-1930,10,9.8
